County/Region,State,Year,Average Value
Prince Georges,MD,2004,221420.01215000005
Erie,NY,2004,103427.03781666665
Baltimore,MD,2004,196982.07434999998
Monroe,NY,2004,116305.45642499998
Baltimore City,MD,2004,75637.43291583333
Anne Arundel,MD,2004,281039.89955833333
Richmond,NY,2004,331616.2376833334
Onondaga,NY,2004,102536.10245
Orange,NY,2004,238348.54505000004
Rockland,NY,2004,398135.86380833335
Howard,MD,2004,347163.51452500006
Albany,NY,2004,160851.42373333333
Dutchess,NY,2004,220233.9826583333
Frederick,MD,2004,283067.3789416666
Harford,MD,2004,227947.51424166665
Saratoga,NY,2004,182773.416675
Oneida,NY,2004,83984.01504000001
Niagara,NY,2004,85195.58013
Broome,NY,2004,76026.93043416667
Ulster,NY,2004,195015.9568416667
Carroll,MD,2004,261449.75539999994
Charles,MD,2004,267689.81653333333
Rensselaer,NY,2004,136113.32379166665
Schenectady,NY,2004,129761.22322500001
Washington,MD,2004,125735.77118041665
Chautauqua,NY,2004,67672.05222416666
Oswego,NY,2004,72378.90948
Jefferson,NY,2004,70757.28128166667
Saint Marys,MD,2004,236479.2123416667
Ontario,NY,2004,128757.18029999999
Saint Lawrence,NY,2004,64129.097780833334
Tompkins,NY,2004,118388.45354166666
Cecil,MD,2004,200596.00009999998
Wicomico,MD,2004,150118.86023333334
Putnam,NY,2004,347583.167875
Steuben,NY,2004,85681.46792583335
Calvert,MD,2004,275589.08624166664
Wayne,NY,2004,108635.62989999999
Chemung,NY,2004,73637.12118166666
Clinton,NY,2004,103687.78730000001
Sullivan,NY,2004,110400.79255833333
Cattaraugus,NY,2004,67196.84973
Cayuga,NY,2004,86221.985165
Allegany,MD,2004,69566.44896208335
Madison,NY,2004,108324.77564999998
Warren,NY,2004,133880.8759166667
Livingston,NY,2004,118687.81553333333
Columbia,NY,2004,155611.8075
Herkimer,NY,2004,82150.3726975
Otsego,NY,2004,78516.11699333334
Genesee,NY,2004,105259.4892525
Fulton,NY,2004,87784.17344416666
Worcester,MD,2004,248705.77266666666
Queen Annes,MD,2004,337632.02939999994
Tioga,NY,2004,102761.99678666667
Greene,NY,2004,115365.765925
Franklin,NY,2004,87943.25361083332
Chenango,NY,2004,74040.14649583334
Cortland,NY,2004,91900.5741125
Delaware,NY,2004,100012.36469916668
Wyoming,NY,2004,94599.73032833333
Orleans,NY,2004,83240.877615
Talbot,MD,2004,304294.6337333333
Essex,NY,2004,105350.63182166667
Seneca,NY,2004,101667.21123833333
Caroline,MD,2004,149633.65935
Dorchester,MD,2004,115948.20545
Schoharie,NY,2004,106355.988175
Garrett,MD,2004,157254.2044
Lewis,NY,2004,87475.50810583333
Somerset,MD,2004,104179.78774583332
Yates,NY,2004,136781.91285833332
Kent,MD,2004,186622.59386666666
Schuyler,NY,2004,112525.44744166666
Hamilton,NY,2004,123919.30013333332
Kings,NY,2005,414924.77500909095
Queens,NY,2005,442087.33389999997
New York,NY,2005,865810.1945999999
Suffolk,NY,2005,416911.26037272724
Bronx,NY,2005,370065.73586363636
Nassau,NY,2005,480457.7485636365
Montgomery,MD,2005,289778.45975818177
Westchester,NY,2005,549073.9240909091
Prince Georges,MD,2005,280185.89601818175
Erie,NY,2005,108501.23183636363
Baltimore,MD,2005,238471.91946363635
Monroe,NY,2005,119478.45766363638
Baltimore City,MD,2005,90369.12131545454
Anne Arundel,MD,2005,344153.9172909091
Richmond,NY,2005,380899.4409636364
Onondaga,NY,2005,109124.30489090909
Orange,NY,2005,274403.9826090909
Rockland,NY,2005,453836.27836363635
Howard,MD,2005,419009.1009363637
Albany,NY,2005,185299.6079
Dutchess,NY,2005,295462.1621909091
Frederick,MD,2005,343964.5778818182
Harford,MD,2005,274924.09613636363
Saratoga,NY,2005,212490.23925454545
Oneida,NY,2005,90762.63093090909
Niagara,NY,2005,88617.88885727272
Broome,NY,2005,81484.5629090909
Ulster,NY,2005,228703.889
Carroll,MD,2005,318013.2845363636
Charles,MD,2005,335578.03870909096
Rensselaer,NY,2005,158130.19607272727
Schenectady,NY,2005,146669.4015090909
Washington,MD,2005,160386.50209954547
Chautauqua,NY,2005,71365.38200909091
Oswego,NY,2005,77360.70100090909
Jefferson,NY,2005,84873.60181545456
Saint Marys,MD,2005,299959.1180636365
Ontario,NY,2005,134437.48342727273
Saint Lawrence,NY,2005,67457.53445363637
Tompkins,NY,2005,131432.55080909093
Cecil,MD,2005,237573.42230909088
Wicomico,MD,2005,179228.30184545455
Putnam,NY,2005,389962.9777272728
Steuben,NY,2005,90411.30876545455
Calvert,MD,2005,338865.0175363636
Wayne,NY,2005,113125.47982727272
Chemung,NY,2005,79379.75805545454
Clinton,NY,2005,109847.30585454546
Sullivan,NY,2005,121142.47929090909
Cattaraugus,NY,2005,77737.55022272727
Cayuga,NY,2005,97201.78110090908
Allegany,MD,2005,76861.99790181819
Madison,NY,2005,114746.09313636365
Warren,NY,2005,153956.4407363636
Livingston,NY,2005,123283.33302727272
Columbia,NY,2005,178823.8092
Herkimer,NY,2005,92294.76914181818
Otsego,NY,2005,91222.58147363637
Genesee,NY,2005,117465.76126363636
Fulton,NY,2005,96810.76307818183
Worcester,MD,2005,290679.33567272726
Queen Annes,MD,2005,401370.5105818182
Tioga,NY,2005,115226.00724545456
Greene,NY,2005,132863.94795454547
Franklin,NY,2005,99387.10588545454
Chenango,NY,2005,80262.65964272729
Cortland,NY,2005,100756.00673545453
Delaware,NY,2005,115137.3962090909
Wyoming,NY,2005,105431.57436363636
Orleans,NY,2005,90438.13871636364
Talbot,MD,2005,356159.3858090909
Essex,NY,2005,120465.53008181817
Seneca,NY,2005,113495.54995454544
Caroline,MD,2005,184750.4378
Dorchester,MD,2005,88555.49900000001
Schoharie,NY,2005,121213.43092727271
Garrett,MD,2005,192003.8829
Lewis,NY,2005,98607.12993818181
Somerset,MD,2005,127554.15861818181
Yates,NY,2005,151952.67303636365
Kent,MD,2005,230377.71907272728
Schuyler,NY,2005,125376.18280909093
Hamilton,NY,2005,141311.6731909091
Kings,NY,2006,466615.5864818182
Queens,NY,2006,457136.17989090906
New York,NY,2006,976646.5440272727
Suffolk,NY,2006,451578.4508363636
Bronx,NY,2006,434474.6847363636
Nassau,NY,2006,518965.6400090908
Montgomery,MD,2006,318342.22330454545
Westchester,NY,2006,595901.1916090909
Prince Georges,MD,2006,341793.4225454545
Erie,NY,2006,114408.8623818182
Baltimore,MD,2006,275960.4074454545
Monroe,NY,2006,123232.8609363636
