County/Region,Year,Average Value
Oswego,2009,92980.65177454546
Jefferson,2009,120246.66014545456
Ontario,2009,146860.78843636363
Saint Lawrence,2009,74433.85468545454
Tompkins,2009,167564.29073636362
Putnam,2009,354367.9706909091
Steuben,2009,95730.2238509091
Wayne,2009,109492.0590909091
Chemung,2009,85794.99298818181
Clinton,2009,122906.97215454545
Sullivan,2009,137568.44522727275
Cattaraugus,2009,84183.62185
Cayuga,2009,111943.86254545454
Madison,2009,124383.4162
Warren,2009,185687.3493909091
Livingston,2009,121825.9153181818
Columbia,2009,203190.58509090907
Washington,2009,132324.34112727272
Herkimer,2009,98161.28582909089
Otsego,2009,122369.91974545456
Genesee,2009,109228.2445818182
Fulton,2009,108910.60660909092
Montgomery,2009,103814.9589636364
Tioga,2009,112926.94615454544
Greene,2009,162052.38724545453
Franklin,2009,98926.67252272727
Chenango,2009,91685.74061818182
Cortland,2009,112385.53796363637
Allegany,2009,71981.49643272726
Delaware,2009,127360.42812727274
Wyoming,2009,104025.70997272729
Orleans,2009,92992.65689999999
Essex,2009,137033.35824545455
Seneca,2009,105111.43737272728
Schoharie,2009,124368.41619999999
Lewis,2009,101996.12346363635
Yates,2009,147477.32499999998
Schuyler,2009,122156.21918181817
Hamilton,2009,147667.10105454546
Kings,2010,425056.5752181819
Queens,2010,420285.0940454546
New York,2010,877041.426618182
Suffolk,2010,381198.1071636364
Bronx,2010,373244.51590909093
Nassau,2010,435131.73145454546
Westchester,2010,518399.6379454545
Erie,2010,123492.81706363638
Monroe,2010,127953.20601818184
Richmond,2010,392894.7326454546
Onondaga,2010,123669.59323636362
Orange,2010,243374.50410909095
Rockland,2010,393009.95888181817
Albany,2010,203390.96746363633
Dutchess,2010,259470.07540909087
Saratoga,2010,234467.65156363632
Oneida,2010,109688.2238090909
Niagara,2010,100814.58925818182
Broome,2010,107686.35034545454
Ulster,2010,217459.82204545455
Rensselaer,2010,180066.5982272727
Schenectady,2010,169275.75917272727
Chautauqua,2010,80207.83755636364
Oswego,2010,94571.3852518182
Jefferson,2010,121610.15245454547
Ontario,2010,147703.35850909093
Saint Lawrence,2010,72490.90104
Tompkins,2010,171982.52815454546
Putnam,2010,347810.6259090909
Steuben,2010,92728.24241818182
Wayne,2010,113223.37052727272
Chemung,2010,88250.02690636364
Clinton,2010,120217.83111818181
Sullivan,2010,136190.15153636364
Cattaraugus,2010,81460.5704781818
Cayuga,2010,109168.69889090909
Madison,2010,121250.91279090907
Warren,2010,183341.01451818185
Livingston,2010,117831.59810909089
Columbia,2010,199471.4671818182
Washington,2010,130765.12454545451
Herkimer,2010,95769.46093272729
Otsego,2010,120714.75369090911
Genesee,2010,104795.1145909091
Fulton,2010,107121.85971818179
Montgomery,2010,101516.36533636363
Tioga,2010,110456.40954545456
Greene,2010,158894.54141818182
Franklin,2010,96588.57868727273
Chenango,2010,90126.04489363637
Cortland,2010,109845.48240909091
Allegany,2010,69932.65146636363
Delaware,2010,126057.3807363636
Wyoming,2010,99974.53943272727
Orleans,2010,89849.67851454545
Essex,2010,134956.74421818185
Seneca,2010,102243.57918181819
Schoharie,2010,122190.66378181819
Lewis,2010,101061.70537272729
Yates,2010,144916.18645454544
Schuyler,2010,119557.9379090909
Hamilton,2010,145789.2364545455
Kings,2011,428517.63183636364
Queens,2011,421170.9851818182
New York,2011,927449.3516181819
Suffolk,2011,367516.5782363636
Bronx,2011,340894.93331818184
Nassau,2011,422351.6422818182
Westchester,2011,495770.05819090904
Erie,2011,122665.32461818185
Monroe,2011,124486.06604545456
Richmond,2011,384695.65000909084
Onondaga,2011,120861.81154545456
Orange,2011,227593.82187272728
Rockland,2011,378335.90247272723
Albany,2011,198838.46555454546
Dutchess,2011,244187.49845454545
Saratoga,2011,229349.7165
Oneida,2011,107872.32157272728
Niagara,2011,99738.68006818181
Broome,2011,100335.45319545455
Ulster,2011,202867.47286363636
Rensselaer,2011,171995.82924545454
Schenectady,2011,159184.11121818182
Chautauqua,2011,80085.62202636365
Oswego,2011,94047.7806
Jefferson,2011,125032.91695454545
Ontario,2011,145928.68873636363
Saint Lawrence,2011,73498.9847718182
Tompkins,2011,169553.70760909092
Putnam,2011,321035.5862727273
Steuben,2011,91087.06673363637
Wayne,2011,110142.51376363635
Chemung,2011,89738.4202481818
Clinton,2011,118419.3844909091
Sullivan,2011,134242.12120000002
Cattaraugus,2011,79946.76401
Cayuga,2011,107160.12162727272
