"Data Source: DCJS, Uniform Crime Reporting File. Includes all reports received as of 8/7/2023.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
County/Region,Year,Population,Index Total Count,Index Total Rate,Violent Total Count,Violent Total Rate,Murder Count,Murder Rate,Rape Count,Rape Rate,Robbery Count,Robbery Rate,Agg Assault Count,Agg Assault Rate,Property Total Count,Property Total Rate,Burglary Count,Burglary Rate,Larceny Count,Larceny Rate,MV Theft Count,MV Theft Rate
Tioga,2020,47597,432,907.6,59,124,0,0,19,39.9,2,4.2,38,79.8,373,783.7,71,149.2,283,594.6,19,39.9
Tioga,2021,48847,420,859.8,57,116.7,0,0,23,47.1,9,18.4,25,51.2,363,743.1,96,196.5,244,499.5,23,47.1
Tioga,2022,47967,361,752.6,57,118.8,1,2.1,16,33.4,0,0,40,83.4,304,633.8,61,127.2,230,479.5,13,27.1
Tompkins,2000,101841,2558,2511.8,113,111,4,3.9,12,11.8,33,32.4,64,62.8,2445,2400.8,467,458.6,1952,1916.7,26,25.5
Tompkins,2001,96679,2614,2703.8,121,125.2,5,5.2,29,30,31,32.1,56,57.9,2493,2578.6,440,455.1,2018,2087.3,35,36.2
Tompkins,2002,97422,3005,3084.5,132,135.5,1,1,24,24.6,39,40,68,69.8,2873,2949,466,478.3,2360,2422.5,47,48.2
Tompkins,2003,99376,2294,2308.4,128,128.8,2,2,15,15.1,36,36.2,75,75.5,2166,2179.6,401,403.5,1730,1740.9,35,35.2
Tompkins,2004,101606,2263,2227.2,116,114.2,2,2,21,20.7,31,30.5,62,61,2147,2113.1,304,299.2,1799,1770.6,44,43.3
Tompkins,2005,100278,2812,2804.2,147,146.6,0,0,21,20.9,39,38.9,87,86.8,2665,2657.6,438,436.8,2148,2142,79,78.8
Tompkins,2006,100286,2720,2712.2,147,146.6,1,1,27,26.9,32,31.9,87,86.8,2573,2565.7,330,329.1,2170,2163.8,73,72.8
Tompkins,2007,100687,2452,2435.3,116,115.2,0,0,18,17.9,29,28.8,69,68.5,2336,2320.1,345,342.6,1938,1924.8,53,52.6
Tompkins,2008,101591,2475,2436.2,137,134.9,2,2,14,13.8,35,34.5,86,84.7,2338,2301.4,426,419.3,1856,1826.9,56,55.1
Tompkins,2009,101616,2558,2517.3,153,150.6,3,3,12,11.8,39,38.4,99,97.4,2405,2366.8,373,367.1,1999,1967.2,33,32.5
Tompkins,2010,101158,2505,2476.3,120,118.6,2,2,16,15.8,28,27.7,74,73.2,2385,2357.7,313,309.4,2028,2004.8,44,43.5
Tompkins,2011,102020,2391,2343.7,91,89.2,1,1,10,9.8,23,22.5,57,55.9,2300,2254.5,328,321.5,1933,1894.7,39,38.2
Tompkins,2012,102272,2746,2685,116,113.4,0,0,16,15.6,38,37.2,62,60.6,2630,2571.6,405,396,2172,2123.7,53,51.8
Tompkins,2013,102977,2902,2818.1,109,105.8,1,1,13,12.6,29,28.2,66,64.1,2793,2712.3,459,445.7,2296,2229.6,38,36.9
Tompkins,2014,104271,2604,2497.3,103,98.8,1,1,15,14.4,34,32.6,53,50.8,2501,2398.6,484,464.2,1981,1899.9,36,34.5
Tompkins,2015,105240,2296,2181.7,147,139.7,0,0,55,52.3,32,30.4,60,57,2149,2042,324,307.9,1788,1699,37,35.2
Tompkins,2016,104871,1957,1866.1,160,152.6,2,1.9,61,58.2,21,20,76,72.5,1797,1713.5,253,241.2,1507,1437,37,35.3
Tompkins,2017,105637,1967,1862,147,139.2,1,0.9,64,60.6,34,32.2,48,45.4,1820,1722.9,193,182.7,1593,1508,34,32.2
Tompkins,2018,103272,1920,1859.2,160,154.9,0,0,63,61,36,34.9,61,59.1,1760,1704.2,196,189.8,1534,1485.4,30,29
Tompkins,2019,102363,1867,1823.9,132,129,2,2,54,52.8,19,18.6,57,55.7,1735,1694.9,192,187.6,1511,1476.1,32,31.3
Tompkins,2020,101580,2135,2101.8,170,167.4,0,0,47,46.3,40,39.4,83,81.7,1965,1934.4,235,231.3,1687,1660.8,43,42.3
Tompkins,2021,103627,2225,2147.1,219,211.3,5,4.8,56,54,25,24.1,133,128.3,2006,1935.8,220,212.3,1711,1651.1,75,72.4
