"Table 1. Real Gross Domestic Product, by County, 2019�2022",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2017) dollars,,,,Rank in state,Percent change,,,Rank in state
Madison,"6,422,822","6,426,459","6,860,414","7,137,527",3,0.1,6.8,4.0,9
Marion,"857,650","805,002","805,331","801,416",33,-6.1,0.0,-0.5,44
Marshall,"713,638","806,170","823,459","805,247",32,13.0,2.1,-2.2,56
Monroe,"917,269","926,248","965,894","939,838",28,1.0,4.3,-2.7,60
Montgomery,"187,049","192,773","197,691","191,506",73,3.1,2.6,-3.1,62
Neshoba,"1,061,173","974,926","1,057,795","1,098,891",24,-8.1,8.5,3.9,10
Newton,"495,548","491,300","499,712","505,405",52,-0.9,1.7,1.1,28
Noxubee,"231,192","231,793","275,127","233,206",70,0.3,18.7,-15.2,77
Oktibbeha,"1,763,250","1,757,341","1,819,119","1,862,002",15,-0.3,3.5,2.4,18
Panola,"1,110,840","1,065,039","1,033,125","1,056,342",25,-4.1,-3.0,2.2,20
Pearl River,"1,128,463","1,053,719","1,019,456","1,035,016",26,-6.6,-3.3,1.5,24
Perry,"301,748","300,976","328,511","306,460",62,-0.3,9.1,-6.7,67
Pike,"1,128,032","1,097,920","1,127,215","1,120,966",21,-2.7,2.7,-0.6,45
Pontotoc,"956,917","915,420","993,781","941,666",27,-4.3,8.6,-5.2,64
Prentiss,"582,956","597,652","597,203","590,942",46,2.5,-0.1,-1.0,49
Quitman,"99,154","93,350","108,699","87,960",80,-5.9,16.4,-19.1,80
Rankin,"6,588,275","6,759,062","7,114,419","7,051,468",5,2.6,5.3,-0.9,48
Scott,"1,083,490","1,020,027","1,078,182","1,102,518",23,-5.9,5.7,2.3,19
Sharkey,"92,299","97,963","110,123","75,856",81,6.1,12.4,-31.1,82
Simpson,"613,544","581,052","611,862","632,880",41,-5.3,5.3,3.4,13
Smith,"381,666","360,527","382,613","395,581",57,-5.5,6.1,3.4,14
Stone,"385,192","375,470","387,486","390,371",58,-2.5,3.2,0.7,32
Sunflower,"618,616","666,972","701,967","608,306",44,7.8,5.2,-13.3,75
Tallahatchie,"278,700","281,733","305,385","254,212",68,1.1,8.4,-16.8,79
Tate,"508,040","495,975","516,129","512,204",51,-2.4,4.1,-0.8,47
Tippah,"639,491","678,808","676,527","628,280",42,6.1,-0.3,-7.1,69
Tishomingo,"571,383","601,491","561,261","594,734",45,5.3,-6.7,6.0,5
Tunica,"544,666","513,526","538,646","528,272",49,-5.7,4.9,-1.9,54
Union,"1,144,513","1,084,955","1,089,402","1,118,278",22,-5.2,0.4,2.7,16
Walthall,"266,783","249,200","259,653","259,105",67,-6.6,4.2,-0.2,41
Warren,"2,242,383","2,313,551","2,340,768","2,232,602",13,3.2,1.2,-4.6,63
Washington,"1,414,652","1,422,825","1,460,902","1,332,733",17,0.6,2.7,-8.8,72
Wayne,"624,082","575,004","624,623","617,692",43,-7.9,8.6,-1.1,50
Webster,"187,842","191,742","193,048","197,222",71,2.1,0.7,2.2,21
Wilkinson,"144,239","142,304","149,912","146,535",77,-1.3,5.3,-2.3,58
Winston,"502,859","466,823","498,471","501,584",53,-7.2,6.8,0.6,35
Yalobusha,"324,527","317,295","308,214","309,042",61,-2.2,-2.9,0.3,38
Yazoo,"718,069","757,672","721,119","673,400",37,5.5,-4.8,-6.6,66
,,,,,,,,,
Missouri,"320,880,824","315,276,211","330,117,450","336,625,841",--,-1.7,4.7,2.0,--
Adair,"818,203","796,619","808,525","815,522",45,-2.6,1.5,0.9,40
Andrew,"314,915","318,123","317,466","303,545",81,1.0,-0.2,-4.4,88
Atchison,"289,003","317,984","360,412","389,385",71,10.0,13.3,8.0,8
Audrain,"895,995","849,380","874,731","837,423",44,-5.2,3.0,-4.3,86
Barry,"1,506,887","1,447,361","1,483,169","1,660,207",25,-4.0,2.5,11.9,4
Barton,"317,269","349,179","357,062","384,418",72,10.1,2.3,7.7,9
Bates,"468,150","476,367","448,149","427,801",65,1.8,-5.9,-4.5,90
Benton,"411,707","392,703","401,878","418,988",66,-4.6,2.3,4.3,16
Bollinger,"180,114","185,980","188,588","185,172",98,3.3,1.4,-1.8,71
Boone,"9,731,758","9,445,917","9,936,398","9,936,865",7,-2.9,5.2,0.0,47
Buchanan,"5,046,550","4,931,456","4,938,456","4,852,606",12,-2.3,0.1,-1.7,68
Butler,"1,423,285","1,440,303","1,485,011","1,478,074",28,1.2,3.1,-0.5,52
Caldwell,"215,773","225,062","223,850","213,527",91,4.3,-0.5,-4.6,92
Callaway,"1,814,403","1,758,806","1,552,001","1,795,547",22,-3.1,-11.8,15.7,2
Camden,"1,583,121","1,552,878","1,648,949","1,624,353",26,-1.9,6.2,-1.5,63
Cape Girardeau,"4,087,470","3,945,189","4,097,205","4,097,673",14,-3.5,3.9,0.0,46
Carroll,"366,903","326,352","332,186","324,212",79,-11.1,1.8,-2.4,76
Carter,"124,819","119,247","126,585","121,137",110,-4.5,6.2,-4.3,87
Cass,"2,790,740","2,801,331","2,894,949","2,910,435",15,0.4,3.3,0.5,42
Cedar,"273,269","278,487","294,234","299,419",82,1.9,5.7,1.8,30
Chariton,"282,726","283,804","280,297","253,716",86,0.4,-1.2,-9.5,106
Christian,"1,805,875","1,803,204","1,890,038","1,926,203",19,-0.1,4.8,1.9,27
Clark,"141,590","148,131","156,796","148,321",105,4.6,5.8,-5.4,97
Clay,"12,854,851","12,824,417","13,178,952","13,971,675",6,-0.2,2.8,6.0,11
Clinton,"399,341","392,009","410,416","404,845",70,-1.8,4.7,-1.4,62
Cole,"5,444,281","5,282,800","5,329,829","5,367,545",10,-3.0,0.9,0.7,41
Cooper,"459,690","444,866","444,530","453,550",62,-3.2,-0.1,2.0,25
Crawford,"646,381","639,670","680,022","662,386",52,-1.0,6.3,-2.6,78
Dade,"179,201","181,894","186,471","188,204",97,1.5,2.5,0.9,38
Dallas,"266,971","259,983","266,794","271,623",84,-2.6,2.6,1.8,28
Daviess,"177,780","186,911","161,729","145,140",106,5.1,-13.5,-10.3,108
DeKalb,"328,012","332,218","311,562","314,400",80,1.3,-6.2,0.9,39
Dent,"360,925","359,807","357,466","330,170",78,-0.3,-0.7,-7.6,101
Douglas,"217,288","210,296","222,925","219,452",90,-3.2,6.0,-1.6,65
Dunklin,"717,507","665,423","767,495","747,634",48,-7.3,15.3,-2.6,77
Franklin,"4,742,391","4,765,086","4,759,906","4,821,634",13,0.5,-0.1,1.3,34
Gasconade,"459,406","442,799","451,113","436,958",63,-3.6,1.9,-3.1,79
Gentry,"229,484","218,934","216,153","183,002",99,-4.6,-1.3,-15.3,112
Greene,"17,109,108","16,717,947","17,997,933","18,315,179",5,-2.3,7.7,1.8,29
Grundy,"333,016","311,765","298,426","284,428",83,-6.4,-4.3,-4.7,93
Harrison,"249,936","256,760","244,381","231,470",87,2.7,-4.8,-5.3,95
Henry,"692,299","695,427","749,295","742,921",49,0.5,7.7,-0.9,54
Hickory,"146,939","149,462","151,716","152,315",104,1.7,1.5,0.4,44
Holt,"234,685","218,194","196,608","193,448",96,-7.0,-9.9,-1.6,66
Howard,"230,972","220,241","229,738","221,457",89,-4.6,4.3,-3.6,83
Howell,"1,248,364","1,251,571","1,261,777","1,258,598",32,0.3,0.8,-0.3,50
Iron,"387,846","409,449","403,588","352,367",75,5.6,-1.4,-12.7,109
Jackson,"47,963,701","46,704,638","49,017,271","49,964,326",2,-2.6,5.0,1.9,26
Jasper,"5,509,447","5,242,957","5,478,936","5,502,078",9,-4.8,4.5,0.4,43
Jefferson,"5,294,725","5,218,065","5,413,159","5,226,323",11,-1.4,3.7,-3.5,81
Johnson,"1,851,658","1,868,474","1,873,375","1,891,428",20,0.9,0.3,1.0,36
Knox,"127,691","124,630","119,681","109,826",112,-2.4,-4.0,-8.2,104
Laclede,"1,243,802","1,253,093","1,346,331","1,377,617",29,0.7,7.4,2.3,22
Lafayette,"815,512","837,019","871,373","851,202",41,2.6,4.1,-2.3,75
Lawrence,"879,011","825,325","872,878","967,551",36,-6.1,5.8,10.8,5
Lewis,"230,337","226,811","242,521","230,497",88,-1.5,6.9,-5.0,94
Lincoln,"1,280,885","1,251,174","1,311,212","1,264,990",31,-2.3,4.8,-3.5,82
Linn,"411,313","400,990","402,406","384,052",73,-2.5,0.4,-4.6,91
Livingston,"579,175","563,556","570,499","552,579",57,-2.7,1.2,-3.1,80
McDonald,"715,631","698,999","728,211","851,075",42,-2.3,4.2,16.9,1
Macon,"569,594","529,118","574,976","570,450",56,-7.1,8.7,-0.8,53
Madison,"276,053","264,604","270,399","265,790",85,-4.1,2.2,-1.7,67
Maries,"159,125","172,442","174,916","171,065",101,8.4,1.4,-2.2,73
Marion,"1,194,538","1,190,321","1,212,627","1,193,951",33,-0.4,1.9,-1.5,64
Mercer,"104,272","97,675","111,691","79,127",114,-6.3,14.4,-29.2,115
Miller,"687,905","677,866","693,514","691,979",51,-1.5,2.3,-0.2,49
Mississippi,"361,078","346,327","360,856","332,666",77,-4.1,4.2,-7.8,102
Moniteau,"417,006","428,796","433,077","468,932",61,2.8,1.0,8.3,7
Monroe,"183,146","187,925","192,634","177,221",100,2.6,2.5,-8.0,103
Montgomery,"341,722","336,505","362,270","342,824",76,-1.5,7.7,-5.4,96
Morgan,"481,029","487,307","508,072","573,602",55,1.3,4.3,12.9,3
New Madrid,"1,012,564","991,855","987,311","1,081,272",35,-2.0,-0.5,9.5,6
Newton,"2,071,611","2,025,874","2,121,532","2,221,762",17,-2.2,4.7,4.7,12
Nodaway,"707,115","735,856","734,727","726,138",50,4.1,-0.2,-1.2,59
Oregon,"203,497","199,289","196,783","194,810",95,-2.1,-1.3,-1.0,55
Osage,"419,410","404,179","407,210","418,767",67,-3.6,0.7,2.8,20
Ozark,"135,723","136,918","142,760","142,828",107,0.9,4.3,0.0,45
Pemiscot,"416,391","406,807","453,989","409,301",68,-2.3,11.6,-9.8,107
Perry,"1,113,838","1,031,333","996,073","938,043",37,-7.4,-3.4,-5.8,98
Pettis,"1,721,368","1,674,246","1,763,484","1,843,954",21,-2.7,5.3,4.6,14
Phelps,"1,564,539","1,528,515","1,547,281","1,561,750",27,-2.3,1.2,0.9,37
Pike,"513,128","491,385","515,695","506,623",58,-4.2,4.9,-1.8,69
Platte,"7,266,925","6,819,085","7,311,700","7,461,335",8,-6.2,7.2,2.0,24
Polk,"774,664","767,916","802,442","839,932",43,-0.9,4.5,4.7,13
Pulaski,"2,301,619","2,385,542","2,285,043","2,142,723",18,3.6,-4.2,-6.2,99
Putnam,"119,514","116,601","120,085","96,532",113,-2.4,3.0,-19.6,114
Ralls,"538,982","598,290","680,188","650,285",54,11.0,13.7,-4.4,89
Randolph,"1,218,416","1,202,306","1,295,235","1,282,147",30,-1.3,7.7,-1.0,56
Ray,"493,398","473,680","487,908","469,724",60,-4.0,3.0,-3.7,84
Reynolds,"232,680","238,590","236,804","203,554",94,2.5,-0.7,-14.0,110
Ripley,"218,192","205,153","208,274","211,822",92,-6.0,1.5,1.7,31
St. Charles,"17,744,958","17,913,288","19,030,644","19,428,800",4,0.9,6.2,2.1,23
St. Clair,"156,384","156,021","160,714","162,959",103,-0.2,3.0,1.4,33
Ste. Genevieve,"625,292","642,521","679,625","650,945",53,2.8,5.8,-4.2,85
St. Francois,"1,759,261","1,701,086","1,757,199","1,750,515",23,-3.3,3.3,-0.4,51
St. Louis,"81,218,803","81,193,997","85,802,117","88,661,082",1,0.0,5.7,3.3,18
Saline,"889,010","896,648","940,408","920,474",38,0.9,4.9,-2.1,72
Schuyler,"72,566","74,114","103,699","111,011",111,2.1,39.9,7.1,10
Scotland,"135,597","143,297","147,797","138,374",108,5.7,3.1,-6.4,100
Scott,"1,602,325","1,599,897","1,646,384","1,665,784",24,-0.2,2.9,1.2,35
Shannon,"124,764","128,401","133,432","133,416",109,2.9,3.9,0.0,48
Shelby,"150,926","173,236","182,261","166,580",102,14.8,5.2,-8.6,105
Stoddard,"1,005,549","1,006,785","1,189,085","1,161,779",34,0.1,18.1,-2.3,74
Stone,"740,375","674,785","754,366","766,437",47,-8.9,11.8,1.6,32
Sullivan,"438,213","443,279","449,104","382,349",74,1.2,1.3,-14.9,111
Taney,"2,593,587","2,269,633","2,598,305","2,716,742",16,-12.5,14.5,4.6,15
Texas,"501,040","507,135","509,542","503,263",59,1.2,0.5,-1.2,61
Vernon,"793,895","791,870","787,332","778,907",46,-0.3,-0.6,-1.1,57
Warren,"896,987","839,862","882,247","871,825",40,-6.4,5.0,-1.2,60
Washington,"396,119","385,504","409,587","405,056",69,-2.7,6.2,-1.1,58
Wayne,"216,496","204,314","213,866","210,024",93,-5.6,4.7,-1.8,70
Webster,"761,437","781,960","858,549","879,536",39,2.7,9.8,2.4,21
Worth,"56,447","49,438","45,505","36,878",115,-12.4,-8.0,-19.0,113
Wright,"330,491","352,268","416,248","429,003",64,6.6,18.2,3.1,19
St. Louis City,"29,941,100","28,356,922","29,639,610","30,737,561",3,-5.3,4.5,3.7,17
,,,,,,,,,
Montana,"50,318,918","50,159,556","52,952,018","53,983,386",--,-0.3,5.6,1.9,--
Beaverhead,"415,437","403,977","382,850","433,196",21,-2.8,-5.2,13.2,15
Big Horn,"834,858","786,190","712,575","856,281",10,-5.8,-9.4,20.2,10
Blaine,"173,194","171,962","146,989","176,934",38,-0.7,-14.5,20.4,9
Broadwater,"188,644","184,070","187,993","185,435",37,-2.4,2.1,-1.4,41
Carbon,"375,002","353,065","367,052","397,474",24,-5.8,4.0,8.3,16
Carter,"38,129","44,648","32,503","31,507",54,17.1,-27.2,-3.1,46
Cascade,"3,719,741","3,680,001","3,780,633","3,857,222",6,-1.1,2.7,2.0,31
Chouteau,"277,354","286,465","179,696","307,516",29,3.3,-37.3,71.1,1
Custer,"469,227","457,077","481,978","482,978",18,-2.6,5.4,0.2,36
Daniels,"99,546","114,818","100,184","104,471",45,15.3,-12.7,4.3,22
Dawson,"401,102","401,407","407,588","397,851",23,0.1,1.5,-2.4,44
Deer Lodge,"275,397","271,331","282,527","305,361",30,-1.5,4.1,8.1,17
Fallon,"196,141","202,965","181,965","154,580",39,3.5,-10.3,-15.0,52
Fergus,"509,805","491,657","546,312","480,056",19,-3.6,11.1,-12.1,51
Flathead,"4,316,015","4,376,378","4,876,192","4,887,979",4,1.4,11.4,0.2,35
Gallatin,"6,515,592","6,672,617","7,599,734","8,002,992",2,2.4,13.9,5.3,21
Garfield,"32,761","37,378","38,740","39,304",51,14.1,3.6,1.5,32
Glacier,"468,322","444,252","367,269","448,496",20,-5.1,-17.3,22.1,5
Golden Valley,"24,704","25,734","21,667","23,099",55,4.2,-15.8,6.6,18
Granite,"104,276","94,229","110,717","109,376",44,-9.6,17.5,-1.2,40
Hill,"760,967","739,578","651,119","794,281",11,-2.8,-12.0,22.0,7
Jefferson,"267,047","248,175","259,313","261,476",31,-7.1,4.5,0.8,34
Judith Basin,"100,400","107,057","77,453","90,723",46,6.6,-27.7,17.1,12
Lake,"844,000","870,105","943,193","964,311",9,3.1,8.4,2.2,30
Lewis and Clark,"3,609,904","3,608,811","3,818,102","3,904,891",5,0.0,5.8,2.3,28
Liberty,"211,233","213,421","201,754","232,602",35,1.0,-5.5,15.3,13
Lincoln,"570,067","585,664","582,950","604,967",16,2.7,-0.5,3.8,24
McCone,"97,069","99,100","91,878","89,836",47,2.1,-7.3,-2.2,43
Madison,"497,829","503,494","555,529","562,332",17,1.1,10.3,1.2,33
Meagher,"60,530","53,396","68,994","57,973",49,-11.8,29.2,-16.0,53
Mineral,"100,661","98,976","115,211","114,132",42,-1.7,16.4,-0.9,39
Missoula,"5,759,384","5,743,155","6,373,555","6,517,231",3,-0.3,11.0,2.3,29
Musselshell,"264,716","272,413","276,349","337,121",28,2.9,1.4,22.0,6
Park,"622,033","606,305","681,259","701,633",14,-2.5,12.4,3.0,26
Petroleum,"13,570","12,172","9,662","11,482",56,-10.3,-20.6,18.8,11
Phillips,"128,020","130,684","109,181","132,111",41,2.1,-16.5,21.0,8
Pondera,"264,115","260,374","194,762","253,852",33,-1.4,-25.2,30.3,3
Powder River,"101,102","153,377","138,543","112,785",43,51.7,-9.7,-18.6,56
Powell,"223,015","212,829","210,323","218,877",36,-4.6,-1.2,4.1,23
Prairie,"38,212","40,324","28,055","37,187",53,5.5,-30.4,32.6,2
Ravalli,"1,167,642","1,187,762","1,294,699","1,324,872",8,1.7,9.0,2.3,27
Richland,"858,000","842,599","815,744","737,571",12,-1.8,-3.2,-9.6,50
Roosevelt,"431,325","414,791","406,847","403,322",22,-3.8,-1.9,-0.9,38
Rosebud,"824,931","694,576","692,313","714,253",13,-15.8,-0.3,3.2,25
Sanders,"345,534","365,973","390,229","389,198",25,5.9,6.6,-0.3,37
Sheridan,"165,398","184,290","166,955","154,343",40,11.4,-9.4,-7.6,49
Silver Bow,"1,516,764","1,516,204","1,596,839","1,563,492",7,0.0,5.3,-2.1,42
Stillwater,"593,266","729,841","761,264","626,043",15,23.0,4.3,-17.8,54
Sweet Grass,"240,202","270,366","295,887","241,870",34,12.6,9.4,-18.3,55
Teton,"264,218","270,712","222,919","254,120",32,2.5,-17.7,14.0,14
Toole,"350,769","358,970","274,327","352,212",26,2.3,-23.6,28.4,4
Treasure,"94,495","80,648","45,074","47,738",50,-14.7,-44.1,5.9,19
Valley,"309,092","314,727","362,097","337,545",27,1.8,15.1,-6.8,48
Wheatland,"85,931","87,878","74,591","78,724",48,2.3,-15.1,5.5,20
Wibaux,"43,726","40,859","40,475","37,868",52,-6.6,-0.9,-6.4,47
Yellowstone,"9,082,515","8,772,765","9,365,626","9,135,644",1,-3.4,6.8,-2.5,45
,,,,,,,,,
Nebraska,"127,481,833","126,890,603","133,495,652","137,078,056",--,-0.5,5.2,2.7,--
Adams,"1,857,414","1,790,260","1,966,769","2,038,108",10,-3.6,9.9,3.6,9
Antelope,"505,334","575,733","571,496","519,369",34,13.9,-0.7,-9.1,62
Arthur,"18,551","19,433","16,139","11,446",93,4.8,-17.0,-29.1,93
Banner,"38,463","38,776","36,107","31,932",84,0.8,-6.9,-11.6,77
Blaine,"29,333","29,250","21,786","19,201",91,-0.3,-25.5,-11.9,79
Boone,"415,481","428,380","455,962","365,760",42,3.1,6.4,-19.8,88
Box Butte,"603,880","565,525","562,697","532,689",32,-6.4,-0.5,-5.3,44
Boyd,"119,598","112,112","117,825","118,758",70,-6.3,5.1,0.8,16
Brown,"216,270","213,729","189,263","170,872",65,-1.2,-11.4,-9.7,67
Buffalo,"3,133,321","3,059,750","3,439,592","3,554,707",5,-2.3,12.4,3.3,10
Burt,"313,371","285,574","336,714","288,636",53,-8.9,17.9,-14.3,84
Butler,"295,290","325,413","370,696","347,747",46,10.2,13.9,-6.2,47
Cass,"758,728","775,314","862,339","810,522",19,2.2,11.2,-6.0,46
Cedar,"383,922","422,694","482,661","435,272",36,10.1,14.2,-9.8,68
Chase,"329,674","343,025","339,213","323,912",48,4.0,-1.1,-4.5,39
Cherry,"272,052","302,735","276,266","244,740",61,11.3,-8.7,-11.4,74
Cheyenne,"547,903","525,269","521,444","523,612",33,-4.1,-0.7,0.4,18
Clay,"315,380","328,268","363,228","284,866",54,4.1,10.6,-21.6,90
Colfax,"677,022","706,080","837,299","802,463",20,4.3,18.6,-4.2,37
Cuming,"821,270","783,197","749,128","710,029",24,-4.6,-4.3,-5.2,43
Custer,"643,056","690,424","698,162","631,227",27,7.4,1.1,-9.6,66
Dakota,"1,548,194","1,481,661","1,711,399","1,829,390",11,-4.3,15.5,6.9,5
Dawes,"275,903","296,862","286,998","265,177",58,7.6,-3.3,-7.6,54
Dawson,"1,504,413","1,546,093","1,668,085","1,655,914",13,2.8,7.9,-0.7,24
Deuel,"81,373","75,028","80,005","85,853",77,-7.8,6.6,7.3,4
Dixon,"256,588","276,899","351,284","331,328",47,7.9,26.9,-5.7,45
Dodge,"2,021,213","2,114,327","2,309,480","2,331,882",8,4.6,9.2,1.0,15
Douglas,"49,337,055","48,373,739","49,963,171","54,583,264",1,-2.0,3.3,9.2,2
Dundy,"175,658","189,450","168,546","165,200",66,7.9,-11.0,-2.0,28
Fillmore,"360,585","357,686","434,176","386,930",39,-0.8,21.4,-10.9,73
Franklin,"78,737","94,151","111,392","86,662",76,19.6,18.3,-22.2,91
Frontier,"80,299","94,969","113,934","108,645",72,18.3,20.0,-4.6,41
Furnas,"234,815","269,671","298,687","273,618",56,14.8,10.8,-8.4,57
Gage,"928,052","951,660","1,073,684","1,034,811",16,2.5,12.8,-3.6,36
Garden,"75,279","76,869","73,606","67,287",81,2.1,-4.2,-8.6,59
Garfield,"77,992","86,433","77,807","68,758",80,10.8,-10.0,-11.6,78
Gosper,"78,164","82,461","100,228","91,095",75,5.5,21.5,-9.1,61
Grant,"27,642","29,315","24,564","19,995",90,6.1,-16.2,-18.6,87
Greeley,"105,283","102,788","117,624","97,113",74,-2.4,14.4,-17.4,86
Hall,"3,495,945","3,490,239","3,829,720","3,841,712",4,-0.2,9.7,0.3,19
Hamilton,"627,242","648,347","723,972","677,330",25,3.4,11.7,-6.4,49
Harlan,"187,139","173,469","181,931","162,862",67,-7.3,4.9,-10.5,70
Hayes,"81,962","94,713","88,850","74,342",78,15.6,-6.2,-16.3,85
Hitchcock,"139,839","136,613","158,158","157,425",68,-2.3,15.8,-0.5,22
Holt,"626,431","663,750","686,540","614,363",28,6.0,3.4,-10.5,71
Hooker,"30,146","28,608","28,867","26,178",87,-5.1,0.9,-9.3,63
Howard,"224,487","223,772","229,676","206,730",62,-0.3,2.6,-10.0,69
Jefferson,"428,502","441,558","482,303","446,844",35,3.0,9.2,-7.4,53
Johnson,"175,867","175,832","190,836","186,214",63,0.0,8.5,-2.4,31
Kearney,"342,753","337,317","362,827","319,566",49,-1.6,7.6,-11.9,80
Keith,"383,651","397,675","408,694","396,785",38,3.7,2.8,-2.9,34
Keya Paha,"29,817","37,506","28,816","29,606",86,25.8,-23.2,2.7,11
Kimball,"156,827","172,930","168,958","177,648",64,10.3,-2.3,5.1,6
Knox,"433,836","489,782","591,977","600,138",29,12.9,20.9,1.4,14
Lancaster,"19,607,440","19,525,695","20,142,642","20,925,879",2,-0.4,3.2,3.9,8
Lincoln,"2,223,923","2,131,568","2,237,551","2,296,108",9,-4.2,5.0,2.6,12
Logan,"28,200","31,856","27,006","24,892",89,13.0,-15.2,-7.8,55
Loup,"35,679","32,630","27,474","25,771",88,-8.5,-15.8,-6.2,48
McPherson,"21,567","26,987","18,149","16,422",92,25.1,-32.7,-9.5,65
Madison,"2,444,263","2,364,515","2,452,373","2,452,881",7,-3.3,3.7,0.0,20
Merrick,"402,723","363,793","390,752","357,785",43,-9.7,7.4,-8.4,58
Morrill,"505,042","520,066","307,438","298,905",52,3.0,-40.9,-2.8,32
Nance,"113,659","114,355","158,018","120,751",69,0.6,38.2,-23.6,92
Nemaha,"606,676","580,928","701,823","670,058",26,-4.2,20.8,-4.5,40
Nuckolls,"249,093","234,054","283,702","249,053",60,-6.0,21.2,-12.2,81
Otoe,"1,156,552","1,199,063","1,315,009","1,343,243",15,3.7,9.7,2.1,13
Pawnee,"106,806","110,338","131,566","116,495",71,3.3,19.2,-11.5,75
Perkins,"299,607","306,071","329,915","319,318",50,2.2,7.8,-3.2,35
Phelps,"779,160","785,207","818,016","749,629",22,0.8,4.2,-8.4,56
Pierce,"338,510","319,600","395,754","384,466",40,-5.6,23.8,-2.9,33
Platte,"2,585,092","2,543,114","2,756,845","2,699,423",6,-1.6,8.4,-2.1,29
Polk,"267,794","260,488","303,239","274,680",55,-2.7,16.4,-9.4,64
Red Willow,"515,034","540,511","546,257","540,709",31,4.9,1.1,-1.0,25
Richardson,"358,583","353,468","415,593","379,371",41,-1.4,17.6,-8.7,60
Rock,"85,356","94,132","82,465","71,310",79,10.3,-12.4,-13.5,82
Saline,"1,013,739","987,774","1,045,138","972,268",17,-2.6,5.8,-7.0,51
Sarpy,"9,014,954","9,248,998","9,840,295","9,685,216",3,2.6,6.4,-1.6,26
Saunders,"716,705","743,095","812,814","755,366",21,3.7,9.4,-7.1,52
Scotts Bluff,"1,726,499","1,734,206","1,705,641","1,702,262",12,0.4,-1.6,-0.2,21
Seward,"738,277","719,629","761,750","743,989",23,-2.5,5.9,-2.3,30
Sheridan,"277,569","310,769","332,819","317,870",51,12.0,7.1,-4.5,38
Sherman,"103,052","105,848","126,597","108,525",73,2.7,19.6,-14.3,83
Sioux,"72,707","68,758","64,014","56,671",83,-5.4,-6.9,-11.5,76
Stanton,"283,042","293,284","339,960","354,297",45,3.6,15.9,4.2,7
Thayer,"372,611","355,639","398,457","355,156",44,-4.6,12.0,-10.9,72
Thomas,"32,935","33,275","30,378","30,200",85,1.0,-8.7,-0.6,23
Thurston,"392,478","406,861","432,050","433,957",37,3.7,6.2,0.4,17
Valley,"298,652","288,008","288,962","270,154",57,-3.6,0.3,-6.5,50
Washington,"1,263,028","1,276,618","1,418,208","1,390,645",14,1.1,11.1,-1.9,27
Wayne,"428,271","459,069","516,141","574,805",30,7.2,12.4,11.4,1
Webster,"212,940","208,480","239,767","259,354",59,-2.1,15.0,8.2,3
Wheeler,"104,322","84,442","78,221","62,713",82,-19.1,-7.4,-19.8,89
York,"790,164","790,906","864,714","824,451",18,0.1,9.3,-4.7,42
,,,,,,,,,
Nevada,"175,771,275","165,793,855","181,102,920","187,226,240",--,-5.7,9.2,3.4,--
Churchill,"1,130,349","1,144,478","1,188,779","1,145,309",10,1.2,3.9,-3.7,6
Clark,"128,047,468","117,201,658","129,198,324","135,989,358",1,-8.5,10.2,5.3,1
Douglas,"2,548,624","2,500,360","2,850,354","2,777,612",4,-1.9,14.0,-2.6,5
Elko,"2,723,399","2,767,804","2,802,785","2,626,305",5,1.6,1.3,-6.3,9
Esmeralda,"36,845","38,325","40,818","33,709",17,4.0,6.5,-17.4,15
Eureka,"1,235,741","1,528,967","1,386,023","1,095,674",11,23.7,-9.3,-20.9,16
Humboldt,"1,204,076","1,339,696","1,335,780","1,174,755",9,11.3,-0.3,-12.1,12
Lander,"768,892","870,906","855,838","712,007",12,13.3,-1.7,-16.8,14
Lincoln,"164,014","159,584","168,355","152,394",16,-2.7,5.5,-9.5,11
Lyon,"1,602,375","1,563,008","1,678,329","1,651,079",8,-2.5,7.4,-1.6,4
Mineral,"221,756","225,450","233,952","212,346",15,1.7,3.8,-9.2,10
Nye,"1,669,723","1,764,755","1,801,638","1,721,399",7,5.7,2.1,-4.5,7
Pershing,"275,082","351,194","372,152","292,725",14,27.7,6.0,-21.3,17
Storey,"1,799,754","2,050,887","2,383,141","2,243,778",6,14.0,16.2,-5.8,8
Washoe,"28,039,209","28,035,334","30,542,848","31,351,832",2,0.0,8.9,2.6,2
White Pine,"614,973","740,424","713,331","603,191",13,20.4,-3.7,-15.4,13
Carson City,"3,694,536","3,507,173","3,582,260","3,627,950",3,-5.1,2.1,1.3,3
,,,,,,,,,
New Hampshire,"84,031,186","83,182,099","89,890,076","90,150,471",--,-1.0,8.1,0.3,--
Belknap,"2,878,759","2,894,200","3,012,081","2,857,890",7,0.5,4.1,-5.1,10
Carroll,"2,255,370","2,291,873","2,307,623","2,317,984",8,1.6,0.7,0.4,6
Cheshire,"3,905,076","3,851,983","4,099,491","3,917,127",6,-1.4,6.4,-4.4,8
Coos,"1,247,410","1,240,373","1,287,511","1,296,450",10,-0.6,3.8,0.7,5
Grafton,"6,772,431","6,794,280","7,224,705","7,342,959",4,0.3,6.3,1.6,3
Hillsborough,"27,030,133","26,988,108","29,685,180","30,015,576",1,-0.2,10.0,1.1,4
Merrimack,"9,975,733","9,598,953","9,871,443","10,390,990",3,-3.8,2.8,5.3,1
Rockingham,"22,310,157","22,136,661","24,644,467","24,104,465",2,-0.8,11.3,-2.2,7
