"Table 1. Real Gross Domestic Product, by County, 2019�2022",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2017) dollars,,,,Rank in state,Percent change,,,Rank in state
Santa Cruz,"15,339,913","15,222,100","16,385,408","16,408,162",25,-0.8,7.6,0.1,30
Shasta,"8,349,619","8,133,732","8,172,559","8,126,075",32,-2.6,0.5,-0.6,35
Sierra,"97,291","89,131","88,040","96,666",58,-8.4,-1.2,9.8,1
Siskiyou,"1,636,399","1,639,757","1,601,502","1,594,553",45,0.2,-2.3,-0.4,34
Solano,"29,784,508","30,144,992","30,523,673","28,736,277",19,1.2,1.3,-5.9,57
Sonoma,"30,422,053","29,521,868","31,391,109","31,368,529",16,-3.0,6.3,-0.1,31
Stanislaus,"23,293,606","22,610,630","23,527,205","23,457,778",22,-2.9,4.1,-0.3,32
Sutter,"3,468,960","3,553,806","3,809,954","3,861,722",37,2.4,7.2,1.4,19
Tehama,"2,016,766","2,043,161","2,057,804","1,986,742",42,1.3,0.7,-3.5,53
Trinity,"395,339","406,065","379,121","370,586",56,2.7,-6.6,-2.3,49
Tulare,"18,501,702","18,133,092","18,291,332","18,098,172",23,-2.0,0.9,-1.1,40
Tuolumne,"2,562,972","2,297,906","2,306,557","2,364,198",40,-10.3,0.4,2.5,8
Ventura,"51,639,533","51,144,528","52,906,964","52,689,371",12,-1.0,3.4,-0.4,33
Yolo,"15,432,370","14,888,664","15,525,328","15,675,696",26,-3.5,4.3,1.0,24
Yuba,"3,312,133","3,186,597","3,204,018","3,152,201",39,-3.8,0.5,-1.6,44
,,,,,,,,,
Colorado,"383,595,975","380,921,899","406,961,532","416,114,361",--,-0.7,6.8,2.2,--
Adams,"28,242,423","28,432,213","30,195,165","30,417,710",6,0.7,6.2,0.7,31
Alamosa,"714,134","676,575","697,480","667,241",33,-5.3,3.1,-4.3,40
Arapahoe,"48,935,672","49,356,384","51,060,223","51,907,882",2,0.9,3.5,1.7,26
Archuleta,"524,554","512,192","543,524","536,520",35,-2.4,6.1,-1.3,35
Baca,"109,199","110,069","126,937","90,865",56,0.8,15.3,-28.4,62
Bent,"130,200","126,269","129,021","104,847",54,-3.0,2.2,-18.7,56
Boulder,"29,675,687","29,149,041","31,164,647","32,366,443",5,-1.8,6.9,3.9,18
Broomfield,"7,769,186","8,410,904","9,220,035","9,875,420",10,8.3,9.6,7.1,6
Chaffee,"812,696","803,655","877,366","923,483",28,-1.1,9.2,5.3,13
